image_name,source_video,original_frame_index,timestamp_sec,width,height
scan_record_20260607_163043_622.jpg,scan_record.avi,126,6.300,640,480
scan_record_20260607_163043_647.jpg,scan_record.avi,133,6.650,640,480
scan_record_20260607_163043_669.jpg,scan_record.avi,140,7.000,640,480
scan_record_20260607_163043_693.jpg,scan_record.avi,147,7.350,640,480
scan_record_20260607_163043_717.jpg,scan_record.avi,154,7.700,640,480
scan_record_20260607_163043_741.jpg,scan_record.avi,161,8.050,640,480
scan_record_20260607_163043_765.jpg,scan_record.avi,168,8.400,640,480
scan_record_20260607_163043_788.jpg,scan_record.avi,175,8.750,640,480
scan_record_20260607_163043_813.jpg,scan_record.avi,182,9.100,640,480
scan_record_20260607_163043_837.jpg,scan_record.avi,189,9.450,640,480
scan_record_20260607_163043_861.jpg,scan_record.avi,196,9.800,640,480
scan_record_20260607_163043_886.jpg,scan_record.avi,203,10.150,640,480
scan_record_20260607_163043_910.jpg,scan_record.avi,210,10.500,640,480
scan_record_20260607_163043_935.jpg,scan_record.avi,217,10.850,640,480
scan_record_20260607_163043_959.jpg,scan_record.avi,224,11.200,640,480
scan_record_20260607_163043_982.jpg,scan_record.avi,231,11.550,640,480
scan_record_20260607_163044_005.jpg,scan_record.avi,238,11.900,640,480
scan_record_20260607_163044_031.jpg,scan_record.avi,245,12.250,640,480
scan_record_20260607_163044_055.jpg,scan_record.avi,252,12.600,640,480
scan_record_20260607_163044_077.jpg,scan_record.avi,259,12.950,640,480
scan_record_20260607_163142_781.jpg,scan_record.avi,0,0.000,640,480
scan_record_20260607_163142_805.jpg,scan_record.avi,7,0.350,640,480
scan_record_20260607_163142_827.jpg,scan_record.avi,14,0.700,640,480
scan_record_20260607_163142_851.jpg,scan_record.avi,21,1.050,640,480
scan_record_20260607_163142_874.jpg,scan_record.avi,28,1.400,640,480
scan_record_20260607_163142_897.jpg,scan_record.avi,35,1.750,640,480
scan_record_20260607_163142_919.jpg,scan_record.avi,42,2.100,640,480
scan_record_20260607_163142_942.jpg,scan_record.avi,49,2.450,640,480
scan_record_20260607_163142_966.jpg,scan_record.avi,56,2.800,640,480
scan_record_20260607_163142_990.jpg,scan_record.avi,63,3.150,640,480
scan_record_20260607_163143_014.jpg,scan_record.avi,70,3.500,640,480
scan_record_20260607_163143_036.jpg,scan_record.avi,77,3.850,640,480
scan_record_20260607_163143_060.jpg,scan_record.avi,84,4.200,640,480
scan_record_20260607_163143_084.jpg,scan_record.avi,91,4.550,640,480
scan_record_20260607_163143_106.jpg,scan_record.avi,98,4.900,640,480
scan_record_20260607_163143_129.jpg,scan_record.avi,105,5.250,640,480
scan_record_20260607_163143_152.jpg,scan_record.avi,112,5.600,640,480
scan_record_20260607_163143_176.jpg,scan_record.avi,119,5.950,640,480
scan_record_20260607_163143_199.jpg,scan_record.avi,126,6.300,640,480
scan_record_20260607_163143_223.jpg,scan_record.avi,133,6.650,640,480
scan_record_20260607_163143_246.jpg,scan_record.avi,140,7.000,640,480
scan_record_20260607_163143_270.jpg,scan_record.avi,147,7.350,640,480
scan_record_20260607_163143_294.jpg,scan_record.avi,154,7.700,640,480
scan_record_20260607_163143_318.jpg,scan_record.avi,161,8.050,640,480
scan_record_20260607_163143_342.jpg,scan_record.avi,168,8.400,640,480
scan_record_20260607_163143_366.jpg,scan_record.avi,175,8.750,640,480
scan_record_20260607_163143_389.jpg,scan_record.avi,182,9.100,640,480
scan_record_20260607_163143_412.jpg,scan_record.avi,189,9.450,640,480
scan_record_20260607_163143_436.jpg,scan_record.avi,196,9.800,640,480
scan_record_20260607_163143_460.jpg,scan_record.avi,203,10.150,640,480
scan_record_20260607_163143_484.jpg,scan_record.avi,210,10.500,640,480
scan_record_20260607_163143_509.jpg,scan_record.avi,217,10.850,640,480
scan_record_20260607_163143_533.jpg,scan_record.avi,224,11.200,640,480
scan_record_20260607_163143_556.jpg,scan_record.avi,231,11.550,640,480
scan_record_20260607_163143_585.jpg,scan_record.avi,238,11.900,640,480
scan_record_20260607_163143_608.jpg,scan_record.avi,245,12.250,640,480
scan_record_20260607_163143_631.jpg,scan_record.avi,252,12.600,640,480
scan_record_20260607_163143_654.jpg,scan_record.avi,259,12.950,640,480
scan_record_20260607_163220_541.jpg,scan_record.avi,0,0.000,640,480
scan_record_20260607_163220_565.jpg,scan_record.avi,7,0.350,640,480
scan_record_20260607_163220_588.jpg,scan_record.avi,14,0.700,640,480
scan_record_20260607_163220_614.jpg,scan_record.avi,21,1.050,640,480
scan_record_20260607_163220_638.jpg,scan_record.avi,28,1.400,640,480
scan_record_20260607_163220_663.jpg,scan_record.avi,35,1.750,640,480
scan_record_20260607_163220_686.jpg,scan_record.avi,42,2.100,640,480
scan_record_20260607_163220_709.jpg,scan_record.avi,49,2.450,640,480
scan_record_20260607_163220_732.jpg,scan_record.avi,56,2.800,640,480
scan_record_20260607_163220_755.jpg,scan_record.avi,63,3.150,640,480
scan_record_20260607_163220_779.jpg,scan_record.avi,70,3.500,640,480
scan_record_20260607_163220_803.jpg,scan_record.avi,77,3.850,640,480
scan_record_20260607_163220_826.jpg,scan_record.avi,84,4.200,640,480
scan_record_20260607_163220_850.jpg,scan_record.avi,91,4.550,640,480
scan_record_20260607_163220_875.jpg,scan_record.avi,98,4.900,640,480
scan_record_20260607_163220_899.jpg,scan_record.avi,105,5.250,640,480
scan_record_20260607_163220_922.jpg,scan_record.avi,112,5.600,640,480
scan_record_20260607_163220_946.jpg,scan_record.avi,119,5.950,640,480
scan_record_20260607_163220_969.jpg,scan_record.avi,126,6.300,640,480
scan_record_20260607_163220_993.jpg,scan_record.avi,133,6.650,640,480
scan_record_20260607_163221_017.jpg,scan_record.avi,140,7.000,640,480
scan_record_20260607_163221_041.jpg,scan_record.avi,147,7.350,640,480
scan_record_20260607_163221_063.jpg,scan_record.avi,154,7.700,640,480
scan_record_20260607_163221_088.jpg,scan_record.avi,161,8.050,640,480
scan_record_20260607_163221_112.jpg,scan_record.avi,168,8.400,640,480
scan_record_20260607_163221_134.jpg,scan_record.avi,175,8.750,640,480
scan_record_20260607_163221_158.jpg,scan_record.avi,182,9.100,640,480
scan_record_20260607_163221_183.jpg,scan_record.avi,189,9.450,640,480
scan_record_20260607_163221_207.jpg,scan_record.avi,196,9.800,640,480
scan_record_20260607_163221_230.jpg,scan_record.avi,203,10.150,640,480
scan_record_20260607_163221_253.jpg,scan_record.avi,210,10.500,640,480
scan_record_20260607_163221_278.jpg,scan_record.avi,217,10.850,640,480
scan_record_20260607_163221_302.jpg,scan_record.avi,224,11.200,640,480
scan_record_20260607_163221_327.jpg,scan_record.avi,231,11.550,640,480
scan_record_20260607_163221_353.jpg,scan_record.avi,238,11.900,640,480
scan_record_20260607_163221_377.jpg,scan_record.avi,245,12.250,640,480
scan_record_20260607_163221_401.jpg,scan_record.avi,252,12.600,640,480
scan_record_20260607_163221_425.jpg,scan_record.avi,259,12.950,640,480
scan_record_20260607_163300_318.jpg,scan_record.avi,0,0.000,640,480
scan_record_20260607_163300_342.jpg,scan_record.avi,7,0.350,640,480
scan_record_20260607_163300_365.jpg,scan_record.avi,14,0.700,640,480
scan_record_20260607_163300_388.jpg,scan_record.avi,21,1.050,640,480
scan_record_20260607_163300_412.jpg,scan_record.avi,28,1.400,640,480
scan_record_20260607_163300_437.jpg,scan_record.avi,35,1.750,640,480
scan_record_20260607_163300_460.jpg,scan_record.avi,42,2.100,640,480
scan_record_20260607_163300_483.jpg,scan_record.avi,49,2.450,640,480
scan_record_20260607_163300_507.jpg,scan_record.avi,56,2.800,640,480
scan_record_20260607_163300_531.jpg,scan_record.avi,63,3.150,640,480
scan_record_20260607_163300_555.jpg,scan_record.avi,70,3.500,640,480
scan_record_20260607_163300_578.jpg,scan_record.avi,77,3.850,640,480
scan_record_20260607_163300_600.jpg,scan_record.avi,84,4.200,640,480
scan_record_20260607_163300_623.jpg,scan_record.avi,91,4.550,640,480
scan_record_20260607_163300_648.jpg,scan_record.avi,98,4.900,640,480
scan_record_20260607_163300_670.jpg,scan_record.avi,105,5.250,640,480
scan_record_20260607_163300_693.jpg,scan_record.avi,112,5.600,640,480
scan_record_20260607_163300_716.jpg,scan_record.avi,119,5.950,640,480
scan_record_20260607_163300_738.jpg,scan_record.avi,126,6.300,640,480
scan_record_20260607_163300_763.jpg,scan_record.avi,133,6.650,640,480
scan_record_20260607_163300_786.jpg,scan_record.avi,140,7.000,640,480
scan_record_20260607_163300_809.jpg,scan_record.avi,147,7.350,640,480
scan_record_20260607_163300_833.jpg,scan_record.avi,154,7.700,640,480
scan_record_20260607_163300_855.jpg,scan_record.avi,161,8.050,640,480
scan_record_20260607_163300_878.jpg,scan_record.avi,168,8.400,640,480
scan_record_20260607_163300_901.jpg,scan_record.avi,175,8.750,640,480
scan_record_20260607_163300_925.jpg,scan_record.avi,182,9.100,640,480
scan_record_20260607_163300_948.jpg,scan_record.avi,189,9.450,640,480
scan_record_20260607_163300_973.jpg,scan_record.avi,196,9.800,640,480
scan_record_20260607_163300_997.jpg,scan_record.avi,203,10.150,640,480
scan_record_20260607_163301_023.jpg,scan_record.avi,210,10.500,640,480
scan_record_20260607_163301_046.jpg,scan_record.avi,217,10.850,640,480
scan_record_20260607_163301_069.jpg,scan_record.avi,224,11.200,640,480
scan_record_20260607_163301_093.jpg,scan_record.avi,231,11.550,640,480
scan_record_20260607_163301_119.jpg,scan_record.avi,238,11.900,640,480
scan_record_20260607_163301_142.jpg,scan_record.avi,245,12.250,640,480
scan_record_20260607_163301_166.jpg,scan_record.avi,252,12.600,640,480
scan_record_20260607_163301_190.jpg,scan_record.avi,259,12.950,640,480
scan_record_20260607_163352_799.jpg,scan_record.avi,0,0.000,640,480
scan_record_20260607_163352_823.jpg,scan_record.avi,7,0.350,640,480
scan_record_20260607_163352_846.jpg,scan_record.avi,14,0.700,640,480
scan_record_20260607_163352_870.jpg,scan_record.avi,21,1.050,640,480
scan_record_20260607_163352_894.jpg,scan_record.avi,28,1.400,640,480
scan_record_20260607_163352_918.jpg,scan_record.avi,35,1.750,640,480
scan_record_20260607_163352_941.jpg,scan_record.avi,42,2.100,640,480
scan_record_20260607_163352_964.jpg,scan_record.avi,49,2.450,640,480
scan_record_20260607_163352_986.jpg,scan_record.avi,56,2.800,640,480
scan_record_20260607_163353_009.jpg,scan_record.avi,63,3.150,640,480
scan_record_20260607_163353_033.jpg,scan_record.avi,70,3.500,640,480
scan_record_20260607_163353_056.jpg,scan_record.avi,77,3.850,640,480
scan_record_20260607_163353_081.jpg,scan_record.avi,84,4.200,640,480
scan_record_20260607_163353_105.jpg,scan_record.avi,91,4.550,640,480
scan_record_20260607_163353_129.jpg,scan_record.avi,98,4.900,640,480
scan_record_20260607_163353_153.jpg,scan_record.avi,105,5.250,640,480
scan_record_20260607_163353_176.jpg,scan_record.avi,112,5.600,640,480
scan_record_20260607_163353_198.jpg,scan_record.avi,119,5.950,640,480
scan_record_20260607_163353_222.jpg,scan_record.avi,126,6.300,640,480
scan_record_20260607_163353_247.jpg,scan_record.avi,133,6.650,640,480
scan_record_20260607_163353_269.jpg,scan_record.avi,140,7.000,640,480
scan_record_20260607_163353_292.jpg,scan_record.avi,147,7.350,640,480
scan_record_20260607_163353_317.jpg,scan_record.avi,154,7.700,640,480
scan_record_20260607_163353_341.jpg,scan_record.avi,161,8.050,640,480
scan_record_20260607_163353_367.jpg,scan_record.avi,168,8.400,640,480
scan_record_20260607_163353_390.jpg,scan_record.avi,175,8.750,640,480
scan_record_20260607_163353_415.jpg,scan_record.avi,182,9.100,640,480
scan_record_20260607_163353_441.jpg,scan_record.avi,189,9.450,640,480
scan_record_20260607_163353_465.jpg,scan_record.avi,196,9.800,640,480
scan_record_20260607_163353_488.jpg,scan_record.avi,203,10.150,640,480
scan_record_20260607_163353_511.jpg,scan_record.avi,210,10.500,640,480
scan_record_20260607_163353_535.jpg,scan_record.avi,217,10.850,640,480
scan_record_20260607_163353_558.jpg,scan_record.avi,224,11.200,640,480
scan_record_20260607_163353_581.jpg,scan_record.avi,231,11.550,640,480
scan_record_20260607_163353_605.jpg,scan_record.avi,238,11.900,640,480
scan_record_20260607_163353_628.jpg,scan_record.avi,245,12.250,640,480
scan_record_20260607_163353_651.jpg,scan_record.avi,252,12.600,640,480
scan_record_20260607_163353_674.jpg,scan_record.avi,259,12.950,640,480
scan_record_20260607_163432_859.jpg,scan_record.avi,0,0.000,640,480
scan_record_20260607_163432_883.jpg,scan_record.avi,7,0.350,640,480
scan_record_20260607_163432_906.jpg,scan_record.avi,14,0.700,640,480
scan_record_20260607_163432_930.jpg,scan_record.avi,21,1.050,640,480
scan_record_20260607_163432_953.jpg,scan_record.avi,28,1.400,640,480
scan_record_20260607_163432_975.jpg,scan_record.avi,35,1.750,640,480
scan_record_20260607_163432_998.jpg,scan_record.avi,42,2.100,640,480
scan_record_20260607_163433_020.jpg,scan_record.avi,49,2.450,640,480
scan_record_20260607_163433_043.jpg,scan_record.avi,56,2.800,640,480
scan_record_20260607_163433_067.jpg,scan_record.avi,63,3.150,640,480
scan_record_20260607_163433_090.jpg,scan_record.avi,70,3.500,640,480
scan_record_20260607_163433_113.jpg,scan_record.avi,77,3.850,640,480
scan_record_20260607_163433_138.jpg,scan_record.avi,84,4.200,640,480
scan_record_20260607_163433_160.jpg,scan_record.avi,91,4.550,640,480
scan_record_20260607_163433_184.jpg,scan_record.avi,98,4.900,640,480
scan_record_20260607_163433_207.jpg,scan_record.avi,105,5.250,640,480
scan_record_20260607_163433_230.jpg,scan_record.avi,112,5.600,640,480
scan_record_20260607_163433_254.jpg,scan_record.avi,119,5.950,640,480
scan_record_20260607_163433_277.jpg,scan_record.avi,126,6.300,640,480
scan_record_20260607_163433_301.jpg,scan_record.avi,133,6.650,640,480
scan_record_20260607_163433_324.jpg,scan_record.avi,140,7.000,640,480
scan_record_20260607_163433_348.jpg,scan_record.avi,147,7.350,640,480
scan_record_20260607_163433_372.jpg,scan_record.avi,154,7.700,640,480
scan_record_20260607_163433_395.jpg,scan_record.avi,161,8.050,640,480
scan_record_20260607_163433_420.jpg,scan_record.avi,168,8.400,640,480
scan_record_20260607_163433_444.jpg,scan_record.avi,175,8.750,640,480
scan_record_20260607_163433_468.jpg,scan_record.avi,182,9.100,640,480
scan_record_20260607_163433_491.jpg,scan_record.avi,189,9.450,640,480
scan_record_20260607_163433_514.jpg,scan_record.avi,196,9.800,640,480
scan_record_20260607_163433_537.jpg,scan_record.avi,203,10.150,640,480
scan_record_20260607_163433_560.jpg,scan_record.avi,210,10.500,640,480
scan_record_20260607_163433_583.jpg,scan_record.avi,217,10.850,640,480
scan_record_20260607_163433_607.jpg,scan_record.avi,224,11.200,640,480
scan_record_20260607_163433_631.jpg,scan_record.avi,231,11.550,640,480
scan_record_20260607_163433_654.jpg,scan_record.avi,238,11.900,640,480
scan_record_20260607_163433_679.jpg,scan_record.avi,245,12.250,640,480
scan_record_20260607_163433_703.jpg,scan_record.avi,252,12.600,640,480
