index,map_yaw_deg,map_yaw_rad,accumulated_ccw_deg,text,recognized_category,target_category,target_status,ocr_confidence,detect_score,x0,y0,x1,y1
1,123.142477,2.149242,123.939580,"日用品加工车间",daily,food,"否",0.998954,0.895020,239,110,410,148
2,-67.608003,-1.179982,293.189100,"食品加工车间",food,food,"是",0.999430,0.887695,263,133,385,162
